Playlist,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,artist_popularity,explicit,pop,rock,folk,mellow,indie,rap,house,r&b,stomp and holler,singer-songwriter,edm,quiet storm,contemporary,christmas,funk,metal,alternative,adult standards,americana,soul,blues,hip hop,motown,punk,disco,other,track_remast,track_live,track_feat,track_remix,track_radio,playlist_picks,playlist_top,playlist_find,time_sign_0.0,time_sign_3.0,time_sign_4.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,Followers
01WIu4Rst0xeZnTunWxUL7,0.7745874272307691,0.5698923076923076,1203072.2153846154,0.3847215384615385,0.08127077030769235,0.2896799999999999,-17.36858461538461,8.261538461538462,0.5742523076923077,103.06644615384614,0.594492307692308,38.646153846153844,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,26.0
056jpfChuMP5D1NMMaDXRR,0.036359625666666666,0.2781666666666666,330780.5,0.9380333333333335,0.24306799999999998,0.40972000000000003,-6.676633333333333,39.9,0.15592666666666669,138.47173333333333,0.23801000000000005,83.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5832.0
05dTMGk8MjnpQg3bKuoXcc,0.31553941176470585,0.6226470588235294,256821.03921568627,0.5192941176470589,0.015953719411764704,0.14685098039215685,-10.14313725490196,29.58823529411765,0.04495294117647058,114.93839215686272,0.5823725490196076,59.627450980392155,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,363.0
070FVPBKvfu6M5tf4I9rt2,0.27810700000000005,0.5721666666666666,273886.86666666664,0.6611333333333335,0.08364696266666667,0.21367,-8.181333333333335,21.966666666666665,0.07031333333333332,121.5109,0.6480333333333334,49.766666666666666,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,87.0
08vPKM3pmoyF6crB2EtASQ,0.4441618181818181,0.5660909090909091,228089.42424242425,0.47578787878787887,0.042261466969696966,0.14267878787878788,-8.630303030303029,39.333333333333336,0.07797272727272726,121.51721212121208,0.26875757575757575,58.03030303030303,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6808.0
08ySLuUm0jMf7lJmFwqRMu,0.25201666666666667,0.5714999999999999,217906.33333333334,0.6594,0.03151174466666666,0.16016666666666665,-7.125666666666666,24.966666666666665,0.04612333333333332,123.0762,0.48197000000000007,59.53333333333333,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,144.0
09D0CKBRWkBBoPn46V6YTO,0.3218132,0.5584200000000001,218150.18,0.5990400000000001,0.0258724036,0.251262,-9.796039999999998,27.08,0.051202000000000025,116.37339999999999,0.6594600000000002,53.2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,421.0
0BXZJ6BiA151CzaMcTKPMN,0.11556270000000003,0.6625800000000001,236698.8,0.74674,0.0028128625999999995,0.20573800000000006,-5.151380000000001,54.46,0.098454,125.6949,0.5639800000000001,80.78,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5254.0
0BbcjurkvWrkWxKKLzcqIP,0.2562218142857142,0.5870142857142859,222432.48571428572,0.6632714285714284,0.004936143714285714,0.13789857142857145,-6.328114285714286,50.27142857142857,0.051278571428571444,120.97592857142858,0.523892857142857,68.87142857142857,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,423.0
0ByLkBLDx1AS5yXJuBTyCd,0.5540944444444446,0.595527777777778,225608.36111111112,0.49464722222222235,0.16447527361111114,0.14300000000000007,-10.163694444444445,17.083333333333332,0.07488611111111113,120.12813888888887,0.5494,36.72222222222222,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,107.0
