,Collaborative,Description,Followers,Name,Tracks,URL,href,id
0,False,Panic! At The Disco is on top of the Hottest 50.,22325533,Today's Top Hits,50,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,https://api.spotify.com/v1/playlists/37i9dQZF1DXcBWIGoYBM5M,37i9dQZF1DXcBWIGoYBM5M
1,False,New music from Future and Lil Pump.,10979083,RapCaviar,50,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd,37i9dQZF1DX0XUsuxWHRQd
2,False,Dance music's biggest playlist with Dzeko,5372383,mint,50,https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n,https://api.spotify.com/v1/playlists/37i9dQZF1DX4dyzvuaRJ0n,37i9dQZF1DX4dyzvuaRJ0n
3,False,The hottest R&B tunes.  Cover: Chris Brown,4773263,Are & Be,46,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd,https://api.spotify.com/v1/playlists/37i9dQZF1DX4SBhb3fqCJd,37i9dQZF1DX4SBhb3fqCJd
4,False,"New music from Imagine Dragons, along with the 50 hottest new Rock songs you need to know.",4418825,Rock This,52,https://open.spotify.com/playlist/37i9dQZF1DXcF6B6QPhFDv,https://api.spotify.com/v1/playlists/37i9dQZF1DXcF6B6QPhFDv,37i9dQZF1DXcF6B6QPhFDv
5,False,"Today's top country hits of the week, worldwide!  Cover: Kane Brown",5210838,Hot Country,51,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda,37i9dQZF1DX1lVhptIYRda
6,False,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Pedro Capó",9220324,¡Viva Latino!,50,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva,https://api.spotify.com/v1/playlists/37i9dQZF1DX10zKzsJ2jva,37i9dQZF1DX10zKzsJ2jva
7,False,"Future, Mike Posner, Bring Me The Horizon , and more kick off the first New Music Friday of 2019!",3039030,New Music Friday,65,https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk,https://api.spotify.com/v1/playlists/37i9dQZF1DX4JAvHpjipBk,37i9dQZF1DX4JAvHpjipBk
8,False,Unwind and let the afternoon unfold in all its acoustic glory.,2466410,Afternoon Acoustic,86,https://open.spotify.com/playlist/37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/playlists/37i9dQZF1DX4E3UdUs7fUx,37i9dQZF1DX4E3UdUs7fUx
9,False,Relax and indulge with some profoundly beautiful piano pieces.,4993468,Peaceful Piano,100,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,https://api.spotify.com/v1/playlists/37i9dQZF1DX4sWSpwq3LiO,37i9dQZF1DX4sWSpwq3LiO
10,False,Redefined & on the rise. Explore the evolving indie folk and roots scene.,1789560,Roots Rising,100,https://open.spotify.com/playlist/37i9dQZF1DWYV7OOaGhoH0,https://api.spotify.com/v1/playlists/37i9dQZF1DWYV7OOaGhoH0,37i9dQZF1DWYV7OOaGhoH0
11,False,"SXSW and Country Music go together like beer and pretzels. Enjoy them all together! Cover artist: <a href=""spotify:artist:2ySHS7UojGu20XfUPaBlyu"">Devin Dawson</a>.",23336,Lost In Austin: Country Music from SXSW,82,https://open.spotify.com/playlist/5JdIoXkjfuyWmDdDnznmq1,https://api.spotify.com/v1/playlists/5JdIoXkjfuyWmDdDnznmq1,5JdIoXkjfuyWmDdDnznmq1
